roteiro_link,filme_nome,tipo_filme
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.445/12.0.813.445.pdf,"ANO EM QUE MEUS PAIS SAÍRAM DE FÉRIAS, O",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.805/12.0.813.805.pdf,"ANTES QUE O MUNDO ACABE",LONGA
http://www.aindaorangotangos.com/arquivos/ROTEIRO_AINDA_ORANGOTANGOS.PDF,"AINDA ORANGOTANGOS",LONGA
http://www.roteirodecinema.com.br/roteiros/amarelo_manga.pdf,"AMARELO MANGA",LONGA
http://www.roteirodecinema.com.br/roteiros/aosespanhoisconfinantes.pdf,"AOS ESPANHÓIS CONFINANTES",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.562/12.0.813.562.pdf,"BANDIDO DA LUZ VERMELHA, O",LONGA
http://www.roteirodecinema.com.br/roteiros/baresperan%C3%A7a.pdf,"BAR ESPERANÇA, O ÚLTIMO QUE FECHA",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.442/12.0.813.442.pdf,"BATISMO DE SANGUE",LONGA
http://www.roteirodecinema.com.br/roteiros/benditofruto.pdf,"BENDITO FRUTO",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.054/12.0.813.054.pdf,"BENS CONFISCADOS",LONGA
http://literal.terra.com.br/rubem_fonseca/bau/pdf/roteirobufo.pdf,"BUFO & SPALLANZANI",LONGA
http://www.autoresdecinema.com.br/arquivos/CABRA%20CEGA-%20roteiro%207[1].1-%20outubro%202002.doc,"CABRA CEGA",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.812.891/12.0.812.891.pdf,"CAÇADOR DE DIAMANTES, O",LONGA
http://www.autoresdecinema.com.br/arquivos/ocaminhodasnuvens.pdf,"CAMINHO DAS NUVENS, O",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.812.943/12.0.812.943.pdf,"CASO DOS IRMÃOS NAVES, O",LONGA
http://www.webwritersbrasil.com.br/roteiros/carandiru.doc,"CARANDIRU",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.806/12.0.813.806.pdf,"CARRO DE PAULISTA",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.105/12.0.813.105.pdf,"CARTOMANTE, A",LONGA
http://www.roteirodecinema.com.br/roteiros/cerro_do_jarau_final.pdf,"CERRO DO JARAU",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.501/12.0.813.501.pdf,"CÉU DE SUELY, O",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.441/12.0.813.441.pdf,"CHEGA DE SAUDADE",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.483/12.0.813.483.pdf,"CIDADE DOS HOMENS",LONGA
http://www.amplanet.com.br/trincafilmes/arquivos/roteiroCIPRIANO.pdf,"CIPRIANO",LONGA
